"LOCTN
TYPE","LOCATION
NAME","LCTN
PRTY","LOCATION
MONITOR","STANDARD
ACTION","ACTION
DETAILS","ACTION
STATUS",FREQ,"ACTN
PRTY","PRIMARY
AGENT","ADDITIONAL
AGENTS",YEAR,RESULT,"RESULT
DETAILS",
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Assess threats,Assess and identify potential threats to D. impar and its habitat.,Ongoing,"Every year, or more freq.",H,DSE South West Region,,2005/2006,PARTIALLY COMPLETED,Currently being undertaken in ABC.,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Assess threats,Assess and identify potential threats to D. impar and its habitat.,Ongoing,"Every year, or more freq.",H,DSE South West Region,,2006/2007,NOT DONE,No Description Recorded,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Assess threats,Assess and identify potential threats to D. impar and its habitat as they arise.,Ongoing,"Every year, or more freq.",H,DSE South West Region,,2007/2008,PARTIALLY COMPLETED,Potential threats still need to be entered into ABC. Tree planting undertaken across part of the site which will eventually make the habitat unsuitable for D. impar. A number of the trees need to be removed.,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Assess threats,Assess and identify potential threats to D. impar and its habitat as they arise.,Ongoing,"Every year, or more freq.",H,DSE South West Region,,2008/2009,PARTIALLY COMPLETED,Potential threats still need to be entered into ABC. Tree planting undertaken across part of the site which will eventually make the habitat unsuitable for D. impar. A number of the trees need to be removed.,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Assess threats,Assess and identify potential threats to D. impar and its habitat as they arise.,Ongoing,As needed,H,DSE South West Region,,2009/2010,PARTIALLY COMPLETED,Potential threats still need to be entered into ABC. Tree planting undertaken across part of the site which will eventually make the habitat unsuitable for D. impar. A number of the trees need to be removed.,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Assess threats,Assess and identify potential threats to D. impar and its habitat as they arise.,Ongoing,As needed,H,DSE South West Region,,2010/2011,NOT DONE,Action not completed as site is a low priority.,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Assess threats,Assess and identify potential threats to D. impar and its habitat as they arise.,Ongoing,As needed,H,DSE South West Region,,2011/2012,NOT DONE, ,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Assess threats,Assess and identify potential threats to D. impar and its habitat as they arise.,Ongoing,"Every year, or more freq.",L,DSE South West Region,,2012/2013,NOT DONE, ,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Assess threats,Assess and identify potential threats to D. impar and its habitat as they arise.,Ongoing,"Every year, or more freq.",L,DSE South West Region,,2013/2014,NOT ENTERED,No Description Recorded,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Assess threats,Assess and identify potential threats to D. impar and its habitat as they arise.,Ongoing,"Every year, or more freq.",L,DSE South West Region,,2014/2015,NOT ENTERED,No Description Recorded,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Assess threats,Assess and identify potential threats to D. impar and its habitat as they arise.,Ongoing,"Every year, or more freq.",L,DSE South West Region,,2015/2016,NOT ENTERED,No Description Recorded,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Prevent habitat loss,Prevent D. impar habitat loss by implementing appropriate management actions to alleviate any threats.,Ongoing,"Every year, or more freq.",H,DSE South West Region,,2005/2006,PARTIALLY COMPLETED,Specific management will be implemented once potential threats have been identified.,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Prevent habitat loss,Prevent D. impar habitat loss by implementing appropriate management actions to alleviate any threats.,Ongoing,"Every year, or more freq.",H,DSE South West Region,,2006/2007,NOT DONE,No Description Recorded,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Prevent habitat loss,Prevent D. impar habitat loss by implementing appropriate management actions to alleviate any threats.,Ongoing,"Every year, or more freq.",H,DSE South West Region,,2007/2008,NOT DONE,Tree removal needs to be undertaken to prevent habitat loss.,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Prevent habitat loss,Prevent D. impar habitat loss by implementing appropriate management actions to alleviate any threats.,Ongoing,"Every year, or more freq.",H,DSE South West Region,,2008/2009,NOT DONE,Tree removal needs to be undertaken to prevent habitat loss.,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Prevent habitat loss,Prevent D. impar habitat loss by implementing appropriate management actions to alleviate any threats.,Ongoing,"Every year, or more freq.",M,DSE South West Region,,2009/2010,NOT DONE,Tree removal needs to be undertaken to prevent habitat loss.,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Prevent habitat loss,Prevent D. impar habitat loss by implementing appropriate management actions to alleviate any threats.,Ongoing,"Every year, or more freq.",M,DSE South West Region,,2010/2011,NOT DONE,Tree removal needs to be undertaken to prevent habitat loss.,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Prevent habitat loss,Prevent D. impar habitat loss by implementing appropriate management actions to alleviate any threats.,Ongoing,"Every year, or more freq.",M,DSE South West Region,,2011/2012,NOT DONE, ,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Prevent habitat loss,Prevent D. impar habitat loss by implementing appropriate management actions to alleviate any threats.,Ongoing,"Every year, or more freq.",L,DSE South West Region,,2012/2013,NOT DONE, ,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Prevent habitat loss,Prevent D. impar habitat loss by implementing appropriate management actions to alleviate any threats.,Ongoing,"Every year, or more freq.",L,DSE South West Region,,2013/2014,NOT ENTERED,No Description Recorded,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Prevent habitat loss,Prevent D. impar habitat loss by implementing appropriate management actions to alleviate any threats.,Ongoing,"Every year, or more freq.",L,DSE South West Region,,2014/2015,NOT ENTERED,No Description Recorded,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Prevent habitat loss,Prevent D. impar habitat loss by implementing appropriate management actions to alleviate any threats.,Ongoing,"Every year, or more freq.",L,DSE South West Region,,2015/2016,NOT ENTERED,No Description Recorded,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Restore habitat,Restore habitat if required for D. impar.,Ongoing,"Every year, or more freq.",H,DSE South West Region,,2005/2006,NOT DONE,Not required in 2005/06.,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Restore habitat,Restore habitat if required for D. impar.,Ongoing,"Every year, or more freq.",M,DSE South West Region,,2006/2007,NOT DONE,Not required in 2006/07.,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Restore habitat,Restore habitat if required for D. impar.,Ongoing,"Every year, or more freq.",M,DSE South West Region,,2007/2008,NOT DONE,Removal of some of the planted trees needs to be undertaken.,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Restore habitat,Restore habitat if required for D. impar.,Ongoing,"Every year, or more freq.",M,DSE South West Region,,2008/2009,NOT DONE,Tree removal needs to be undertaken to prevent habitat loss.,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Restore habitat,Restore habitat if required for D. impar.,Ongoing,As needed,M,DSE South West Region,,2009/2010,NOT DONE,Tree removal needs to be undertaken to prevent habitat loss.,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Restore habitat,Restore habitat if required for D. impar.,Ongoing,As needed,L,DSE South West Region,,2010/2011,NOT DONE,No action undertaken as it is a low priority.,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Restore habitat,Restore habitat if required for D. impar.,Ongoing,As needed,L,DSE South West Region,,2011/2012,NOT DONE, ,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Restore habitat,Restore habitat if required for D. impar.,Ongoing,As needed,L,DSE South West Region,,2012/2013,NOT DONE, ,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Undertake detailed population monitoring and collect demographic information,Undertake population monitoring at least three times per year via the roof tile grid method. Capture-mark-recapture also undertaken in conjunction with the roof tile monitoring.,Ongoing,"Every year, or more freq.",H,DSE South West Region,,2004/2005,COMPLETED,04/05. Monitoring undertaken once with 1 D. impar and 5 D. impar skins discovered.,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Undertake detailed population monitoring and collect demographic information,Undertake population monitoring at least three times per year via the roof tile grid method. Capture-mark-recapture also undertaken in conjunction with the roof tile monitoring.,Ongoing,"Every year, or more freq.",H,DSE South West Region,,2005/2006,COMPLETED,Monitoring undertaken twice with 3 D. impar skins discovered.,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Undertake detailed population monitoring and collect demographic information,Undertake population monitoring at least three times per year via the roof tile grid method. Capture-mark-recapture also undertaken in conjunction with the roof tile monitoring.,Ongoing,"Every year, or more freq.",H,DSE South West Region,,2006/2007,COMPLETED,Monitoring undertaken twice with 1 D. impar skin discovered.,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Undertake detailed population monitoring and collect demographic information,Undertake population monitoring at least three times per year via the roof tile grid method. Capture-mark-recapture also undertaken in conjunction with the roof tile monitoring.,Ongoing,"Every year, or more freq.",H,DSE South West Region,,2007/2008,COMPLETED,Monitoring undertaken twice in 2007/08 with one D. impar skin discovered.,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Undertake detailed population monitoring and collect demographic information,Undertake population monitoring at least three times per year via the roof tile grid method. Capture-mark-recapture also undertaken in conjunction with the roof tile monitoring.,Ongoing,"Every year, or more freq.",H,DSE South West Region,,2008/2009,COMPLETED,Monitoring undertaken twice in 2008/09 with no D. impar detected. A large number of the tiles at this site have been destroyed.,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Undertake detailed population monitoring and collect demographic information,Undertake population monitoring at least three times per year via the roof tile grid method. Capture-mark-recapture also undertaken in conjunction with the roof tile monitoring.,Ongoing,"Every year, or more freq.",M,DSE South West Region,,2009/2010,COMPLETED,Monitoring undertaken twice in 2009/10 with no D. impar detected. A large number of the tiles at this site have been destroyed.,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Undertake detailed population monitoring and collect demographic information,Undertake population monitoring at least three times per year via the roof tile grid method. Capture-mark-recapture also undertaken in conjunction with the roof tile monitoring.,Ongoing,"Every year, or more freq.",M,DSE South West Region,,2010/2011,COMPLETED,Monitoring undertaken once in 2010/11 with no D. impar detected. A large number of the tiles at this site have been destroyed but as it is a low priority site the grid will not be replace.,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Undertake detailed population monitoring and collect demographic information,Undertake population monitoring at least three times per year via the roof tile grid method. Capture-mark-recapture also undertaken in conjunction with the roof tile monitoring.,Ongoing,"Every year, or more freq.",M,DSE South West Region,,2011/2012,NOT DONE, ,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Undertake detailed population monitoring and collect demographic information,Undertake population monitoring at least three times per year via the roof tile grid method. Capture-mark-recapture also undertaken in conjunction with the roof tile monitoring.,Ongoing,"Every year, or more freq.",M,DSE South West Region,,2012/2013,NOT DONE, ,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Undertake detailed population monitoring and collect demographic information,Undertake population monitoring at least three times per year via the roof tile grid method. Capture-mark-recapture also undertaken in conjunction with the roof tile monitoring.,Ongoing,"Every year, or more freq.",M,DSE South West Region,,2013/2014,NOT ENTERED,No Description Recorded,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Undertake detailed population monitoring and collect demographic information,Undertake population monitoring at least three times per year via the roof tile grid method. Capture-mark-recapture also undertaken in conjunction with the roof tile monitoring.,Ongoing,"Every year, or more freq.",M,DSE South West Region,,2014/2015,NOT ENTERED,No Description Recorded,
Biosite,"'Old Pound', Portland Road, Coleraine",L,Evelyn Nicholson,Undertake detailed population monitoring and collect demographic information,Undertake population monitoring at least three times per year via the roof tile grid method. Capture-mark-recapture also undertaken in conjunction with the roof tile monitoring.,Ongoing,"Every year, or more freq.",M,DSE South West Region,,2015/2016,NOT ENTERED,No Description Recorded,
