gridCMA,Autumn,Spring,Summer,Winter,TotFires
1.1.1ccma,0.0,0.0,3.0,0.0,3.0
1.1.2ccma,1.0,0.0,3.0,0.0,4.0
1.2.1ccma,0.0,0.0,1.0,0.0,1.0
1.7.1ccma,1.0,0.0,0.0,0.0,1.0
1.7.2ccma,1.0,0.0,0.0,0.0,1.0
10.1.1ccma,1.0,0.0,1.0,0.0,2.0
10.1.1ghcma,1.0,0.0,8.0,0.0,9.0
10.2.1ghcma,1.0,0.0,8.0,0.0,9.0
10.2.2ghcma,0.0,0.0,8.0,0.0,8.0
10.3.1ghcma,0.0,0.0,7.0,0.0,7.0
10.4.1ccma,1.0,0.0,0.0,0.0,1.0
10.4.2ccma,1.0,0.0,0.0,0.0,1.0
11.1.1ghcma,2.0,0.0,1.0,0.0,3.0
11.1.1wcma,0.0,0.0,1.0,0.0,1.0
11.1.2ghcma,2.0,0.0,0.0,0.0,2.0
11.1.2wcma,0.0,0.0,1.0,0.0,1.0
11.1.3wcma,0.0,0.0,1.0,0.0,1.0
11.1.4wcma,0.0,0.0,1.0,0.0,1.0
11.2.1wcma,0.0,0.0,1.0,0.0,1.0
11.2.2wcma,0.0,0.0,1.0,0.0,1.0
12.1.1ghcma,0.0,0.0,8.0,0.0,8.0
12.1.1wcma,0.0,0.0,1.0,0.0,1.0
12.1.2wcma,0.0,0.0,1.0,0.0,1.0
12.2.1ghcma,0.0,0.0,8.0,0.0,8.0
12.2.2ghcma,1.0,0.0,8.0,0.0,9.0
13.2.1ghcma,1.0,3.0,0.0,0.0,4.0
13.3.1ghcma,1.0,0.0,0.0,0.0,1.0
14.1.2ghcma,0.0,0.0,1.0,0.0,1.0
14.1.3ghcma,1.0,0.0,1.0,0.0,2.0
14.2.1ghcma,0.0,0.0,8.0,0.0,8.0
14.2.2ghcma,0.0,0.0,8.0,0.0,8.0
14.3.1ghcma,1.0,0.0,1.0,0.0,2.0
14.3.2ghcma,1.0,0.0,1.0,0.0,2.0
14.3.3ghcma,1.0,0.0,2.0,0.0,3.0
14.4.1ghcma,2.0,0.0,7.0,0.0,9.0
15.2.1ghcma,0.0,0.0,9.0,0.0,9.0
15.3.1ghcma,2.0,0.0,8.0,0.0,10.0
16.2.2ghcma,2.0,0.0,1.0,1.0,4.0
16.2.3ghcma,2.0,0.0,2.0,1.0,5.0
16.3.1ghcma,2.0,0.0,0.0,0.0,2.0
16.3.2ghcma,2.0,0.0,0.0,0.0,2.0
16.3.3ghcma,2.0,0.0,0.0,1.0,3.0
17.1.1ghcma,0.0,0.0,1.0,0.0,1.0
17.1.2ghcma,0.0,0.0,1.0,0.0,1.0
17.1.3ghcma,0.0,0.0,1.0,0.0,1.0
17.2.1ghcma,0.0,0.0,1.0,0.0,1.0
17.2.2ghcma,0.0,0.0,1.0,0.0,1.0
18.1.1ghcma,0.0,0.0,1.0,0.0,1.0
2.2.2ccma,0.0,0.0,1.0,0.0,1.0
2.4.1ccma,2.0,0.0,0.0,0.0,2.0
2.4.2ccma,2.0,0.0,2.0,0.0,4.0
2.5.1ccma,0.0,0.0,1.0,0.0,1.0
2.5.2ccma,0.0,0.0,1.0,0.0,1.0
2.5.3ccma,0.0,0.0,1.0,0.0,1.0
3.4.3ghcma,1.0,0.0,0.0,0.0,1.0
4.1.1ccma,0.0,1.0,1.0,0.0,2.0
4.12.1ccma,1.0,0.0,3.0,0.0,4.0
4.2.1ccma,1.0,0.0,0.0,0.0,1.0
4.3.3ccma,1.0,0.0,0.0,0.0,1.0
4.6.1ccma,1.0,0.0,0.0,0.0,1.0
4.9.1ccma,0.0,0.0,1.0,0.0,1.0
5.1.1ccma,2.0,0.0,1.0,0.0,3.0
5.2.1ccma,1.0,0.0,3.0,0.0,4.0
5.2.2ccma,1.0,0.0,2.0,0.0,3.0
5.2.3ccma,1.0,0.0,3.0,0.0,4.0
5.3.1ccma,1.0,1.0,2.0,0.0,4.0
5.3.2ccma,1.0,1.0,2.0,0.0,4.0
5.4.1ccma,1.0,0.0,1.0,0.0,2.0
5.4.2ccma,1.0,0.0,0.0,0.0,1.0
5.4.3ccma,1.0,0.0,0.0,0.0,1.0
6.1.1ghcma,1.0,0.0,0.0,0.0,1.0
6.1.2ghcma,1.0,0.0,0.0,0.0,1.0
7.1.1ghcma,8.0,0.0,6.0,0.0,14.0
7.2.1ghcma,0.0,0.0,8.0,0.0,8.0
7.2.2ghcma,0.0,0.0,8.0,0.0,8.0
8.1.1ccma,4.0,0.0,0.0,0.0,4.0
8.1.1wcma,1.0,0.0,0.0,0.0,1.0
8.1.2ccma,4.0,0.0,1.0,0.0,5.0
8.1.3ccma,4.0,0.0,1.0,0.0,5.0
8.2.1ghcma,0.0,0.0,1.0,0.0,1.0
8.4.1ghcma,0.0,0.0,8.0,0.0,8.0
8.7.1ghcma,0.0,0.0,9.0,0.0,9.0
8.7.2ghcma,0.0,0.0,9.0,0.0,9.0
9.1.1ghcma,0.0,0.0,9.0,0.0,9.0
9.3.1ghcma,6.0,0.0,7.0,0.0,13.0
9.4.1ghcma,7.0,0.0,7.0,0.0,14.0
9.5.1ghcma,1.0,0.0,8.0,0.0,9.0
9.6.1ccma,1.0,0.0,0.0,0.0,1.0
9.7.2ccma,2.0,0.0,0.0,0.0,2.0
9.8.2ccma,1.0,0.0,0.0,0.0,1.0
