Sitename	VGE	VGN	extant43_01	LandCover	TWIx1000	ThorPot07	ThorInvPot07	RoadDensity5K	AnnualRain	AnnualEvap	NetRainfall	NetRainfallStdev	MaxTempWarmestP	TempRange	Rad_Diffuse	Rad_Direct	PrecipSeasonality	Rad_Duration	MinTempColdestP	PrecipWarmestQ	PrecipColdestQ	NativeTreeProb	TreeProb1Ha_RegionMean	TreeProb10ha_RegionMean	TreeProb1Ha_RegionStdDev	TreeProb10ha_RegionStdDev	NativeGrassProb	GrassProb1Ha_RegionMean	GrassProb1Ha_RegionStdDev	GrassProb10ha_RegionMean	GrassProb10ha_RegionStdDev	B1_98_05	B2_98_05	B3_98_05	B4_98_05	B5_98_05	B7_98_05	Ndvi_89_05	Ndwi_89_05_Mean	Ndwi_89_05_StdError	B3_98_05_10ha_Mean	B4_98_05_10ha_Mean	B5_98_05_10ha_Mean	B6_98_05_10ha_Mean	Nvdi_98_05_10haMean	B3_98_05_10ha_StdDev	B4_98_05_10ha_StdDev	B5_98_05_10ha_StdDev	B6_98_05_10ha_StdDev	RiseX	RiseY	Height_100	Slope	Aspect	SalineLogDist	DistToRoad	FreshWaterLogDist	Flood	DistEdge	CurVegSat_PC1	CurVegSat_PC2	CurVegSat_PC3	CurVegSat_PC4	ClimTopo_PC1	ClimTopo_PC2	ClimTopo_PC3	ClimTopo_PC4
10.1.1 CCMA	2416200.048	2392223.185	1	4	8514	386	470	22	584	1167	-583	57	253	216	335993	1015716	16	4353	37	120	153	24	40	43	16.04561996	21.85442734	69	69	2.516611576	68	2.795057297	41	30	35	59	106	46	0.270657539	-0.266161978	0.112608902	34	59	105	45	0.263164848	1	1	2	2	-1.251438022	-3.260136127	185	2	201	14.29856014	2646.979004	31	1	355	0.31255573	-1.561591506	4.155790806	0.918511927	0.387119204	0.561520219	1.994004488	-0.290823311
9.2.1 CCMA	2417447.177	2429594.1	0	1	7624	383	423	50	750	1034	-284	59	242	219	345245	1025967	18	4135	23	146	211	2	20	69	34.58825684	41.26122665	35	25	10.7031374	14	8.874084473	31	24	24	66	81	29	0.458223999	-0.103277937	0.072152711	25	78	80	29	0.513535857	1	9	4	2	-8.320650101	-2.703574896	497	5	252	15.37707996	0	16	1	0	-2.175028086	-2.214022636	-0.43283537	0.614105582	2.13754344	0.763987601	1.148966312	-1.186519504
9.1.1 CCMA	2417927.135	2415848.449	1	3	8110	424	461	38	682	1078	-396	57	246	218	344536	1037598	15	4268	28	140	179	0	1	4	1.460593462	17.18963623	40	30	13.09325504	21	8.858269691	30	22	21	59	76	29	0.463236183	-0.113954119	0.079324029	21	60	70	27	0.481885076	3	3	7	4	2.895064354	-1.952738285	391	2	124	15.25008011	0	3	4	167	-2.933217287	-1.687495828	1.628477454	-0.051067337	1.330519438	1.172103763	1.489534259	0.231627285
9.3.1 CCMA	2419847.103	2426038.471	0	1	8605	441	432	41	692	1052	-360	57	244	219	348583	1053810	16	4333	24	142	187	90	61	83	44.20574188	32.46948242	21	20	10.37740231	14	9.046240807	33	27	26	70	85	32	0.439400434	-0.12103235	0.093631268	29	78	90	34	0.454050153	3	10	7	2	-0.872748256	-1.511654377	463	1	210	15.49009991	0	32	1	0	-0.851118922	-2.144378424	-1.555906177	1.011776328	1.347886324	1.723377943	1.313632727	-0.705135524
9.4.1 CCMA	2420733.837	2408778.488	1	4	7765	436	387	50	670	1104	-434	56	247	216	340567	1075996	15	4257	30	140	174	99	98	83	3.009508848	31.83979416	71	66	5.17181015	54	15.51876259	39	30	33	66	115	47	0.363728493	-0.250801057	0.108013272	33	68	112	46	0.353677034	4	5	13	6	1.09389472	6.90658474	325	4	9	15.08189964	1560	30	2	79	1.5887357	-3.395921707	1.789366245	1.924980998	1.504358172	1.633372426	0.647932112	1.102786183
9.3.2 CCMA	2421270.962	2421077.075	0	1	7569	452	452	13	669	1072	-403	56	245	218	346150	1061178	15	4312	27	141	175	21	62	85	41.86634064	31.38572311	30	24	9.163072586	14	9.655442238	32	26	27	67	86	34	0.415036798	-0.162044659	0.068595536	32	77	100	39	0.407262802	4	7	10	5	0.792442262	1.555256844	412	1	27	15.46368027	0	25	1	0	-0.671403229	-2.638405085	-1.101596355	0.033004452	1.490208387	1.715706587	1.118602395	0.648727715
10.2.1 CCMA	2421118.797	2388340.97	0	1	8123	391	474	46	569	1183	-614	57	251	211	332638	1028920	15	4251	40	117	149	100	100	99	0	4.15362978	32	26	11.67169952	27	16.43549728	44	32	37	65	103	46	0.304369599	-0.217687413	0.194465891	38	67	108	48	0.2650778	2	4	6	2	-4.129799366	3.22652483	143	3	308	14.29662991	342.0526123	14	1	0	1.361481905	-0.37440747	1.349967718	2.104920149	0.591814756	0.68812573	1.78630662	-0.748971224
9.3.3 CCMA	2422576.298	2417809.709	0	1	7862	433	466	26	668	1081	-413	56	245	217	344969	1065024	14	4334	28	142	172	100	96	89	11.82330227	27.00991058	33	22	14.70908356	15	11.09229374	36	29	30	71	99	39	0.399731308	-0.184271649	0.117946059	33	79	100	39	0.407529354	4	10	11	4	1.317348719	1.14515543	387	1	49	15.36730957	0	18	1	0	0.441189855	-2.072273731	-1.209065437	1.550281167	1.243806481	1.703979611	1.487171888	0.710803568
9.5.1 CCMA	2423629.16	2409932.69	0	1	7116	356	455	33	664	1106	-442	56	246	215	331879	944929	14	3861	31	142	173	63	74	78	25.75331688	32.30649185	56	42	12.99578667	29	14.25588608	35	28	28	64	90	35	0.381181538	-0.182159469	0.098431863	31	69	92	36	0.38407591	4	6	13	7	-0.916013837	-10.47042274	311	6	185	15.12055969	1502.697998	0	2	0	0.084689356	-3.915682793	0.354042232	0.922888517	1.976822853	-1.452485323	1.815069675	-0.147101313
9.5.2 CCMA	2423979.362	2409621.188	0	4	7313	418	423	30	671	1104	-433	56	246	214	335355	993054	14	3986	31	142	175	58	52	63	45.42309189	44.34805298	25	25	12.58021832	25	13.77641773	33	26	25	69	82	32	0.455516398	-0.132552996	0.106679805	28	68	90	36	0.415580064	5	7	19	8	-5.434315681	-4.400651455	327	4	231	15.10111046	1170	24	2	0	-0.72041595	-4.666243553	-1.681210637	0.10903696	1.927016973	-0.247276112	1.226146102	-0.812488317
10.3.1 CCMA	2424801.47	2380581.84	1	4	8686	610	441	66	552	1209	-657	58	249	205	332130	1014690	16	4338	44	112	146	1	20	41	34.42182159	46.1088562	66	66	5.826458454	61	12.21925735	38	27	29	54	90	37	0.291215926	-0.272091717	0.05043038	31	60	102	43	0.318560928	5	5	15	7	-1.480269194	-0.924982071	98	1	238	13.69816017	0	37	1	55	-0.084306143	-5.296485424	2.006888151	-0.715199411	0.468415499	0.745019138	1.342551589	-0.897726119
10.4.1 CCMA	2425569.358	2387476.337	0	4	8964	352	497	82	559	1194	-635	57	249	208	333752	1017808	15	4336	41	117	145	51	64	79	28.58579445	22.33997154	30	31	9.568798065	33	8.30739975	44	32	37	59	93	44	0.245294005	-0.236903131	0.077863626	38	62	101	47	0.243022338	3	3	9	5	-0.539386392	-1.660075545	137	1	198	13.97352028	531.6013794	36	1	25	0.747233987	-1.867751479	1.043094873	-0.495981634	0.081895404	0.623624504	2.453256845	-0.021772955
10.4.2 CCMA	2426701.867	2384700.039	0	6	9124	381	478	83	556	1200	-644	57	248	206	332666	1018533	15	4312	42	115	145	2	22	61	28.49235535	39.03668213	29	34	12.45639992	33	15.15172958	41	30	32	55	83	40	0.26006037	-0.217308179	0.053652212	38	63	100	45	0.246720552	5	6	12	5	1.728518486	-0.242924854	123	1	98	13.71831989	30	32	1	0	0.026051005	-3.626707315	0.671248496	-1.379637122	0.106800668	0.656480968	2.238180637	0.66860491
9.6.1 CCMA	2427783.887	2434506.885	0	1	8877	432	459	95	666	1042	-376	56	242	221	350369	1052320	15	4296	21	142	176	37	74	84	30.91324234	30.37764931	28	21	4.707643032	14	7.307519913	35	27	28	70	86	35	0.420046926	-0.12684834	0.060912449	27	80	86	32	0.487331033	2	7	7	3	-2.595109463	-2.336662292	510	2	228	15.6501503	0	25	1	0	-1.089920998	-1.200548887	-0.995627046	0.674666047	1.358463287	1.686982393	1.53499639	-0.866887569
10.5.1 CCMA	2427820.633	2382533.932	1	4	8874	397	498	82	548	1210	-662	57	247	204	332373	1005765	16	4348	44	114	144	0	1	44	0.601585209	45.82528687	23	27	6.404239655	20	12.76838017	33	25	26	56	76	34	0.379909277	-0.164534733	0.134916127	34	62	91	44	0.299227476	6	5	11	7	1.530831218	-3.138652563	109	2	154	13.4686203	67.08203888	43	1	25	-1.305000067	-2.571468353	-0.089422837	-0.815262198	0.133241057	0.402302384	2.504229307	0.276262015
9.7.3 CCMA	2428866.967	2423247.095	0	1	8392	457	424	34	649	1070	-420	55	242	217	346653	1049326	13	4285	26	142	165	99	73	86	38.60261536	29.42320442	9	15	12.36758423	15	12.73946667	37	29	32	74	92	38	0.39778617	-0.124354981	0.118371777	34	74	99	40	0.360224396	2	7	6	3	-3.388342142	-0.844820678	435	2	256	15.40878963	0	18	1	0	0.046495993	-1.606260419	-1.151007771	1.023576498	1.496530056	1.549918413	1.200040579	-1.126194477
9.7.2 CCMA	2429547.828	2425712.942	0	1	8265	466	435	34	652	1061	-409	54	242	217	346505	1049019	13	4207	23	143	165	17	45	70	43.65792465	38.16690063	37	28	8.188261032	27	12.0452013	37	30	32	61	93	42	0.360946357	-0.156678826	0.151254386	32	68	98	43	0.356142998	2	5	7	3	-3.402576208	0.785531759	449	2	283	15.47171021	0	33	1	0	-0.401078165	-2.612298012	0.384912252	0.501517177	1.599241018	1.510150433	1.216817737	-1.151114345
9.7.1 CCMA	2430350.088	2432444.339	0	1	8982	508	417	99	652	1045	-393	54	241	220	350197	1062956	14	4311	21	142	165	87	97	99	5.761117458	3.320719004	24	14	7.042726517	12	7.92868042	34	27	27	72	84	32	0.442153841	-0.120144114	0.071334742	28	85	92	33	0.498028576	2	8	6	2	1.412145138	-1.025979757	505	1	126	15.64795971	0	41	1	0	-0.753209054	0.395565957	-0.875100255	1.781105757	1.4173913	1.95678246	1.002518058	-0.254752129
9.8.1 CCMA	2430347.936	2430338.836	1	1	8543	460	451	88	668	1036	-368	54	239	218	350892	1054471	14	4258	21	146	174	1	44	66	43.35468292	42.64539337	22	19	6.692568779	13	6.126582623	32	24	25	60	74	30	0.405464053	-0.130136698	0.099321827	28	74	85	33	0.445617586	2	10	8	3	-3.164889574	-1.475824714	521	2	245	15.59181023	0	24	1	0	-1.956356168	-2.299026489	-1.28637898	-0.000919526	1.647624016	1.757876158	1.408565521	-1.046712518
9.9.1 CCMA	2430483.217	2418439.247	1	3	9475	427	461	47	655	1075	-420	54	241	213	346579	1058485	13	4334	27	145	167	0	0	17	0.462910056	33.80793381	33	32	4.925154209	32	10.61246014	34	25	26	51	79	37	0.353812099	-0.192394003	0.126721904	27	57	82	36	0.349149257	3	7	8	3	0	0	418	0	259	15.23268032	540.8327026	35	2	90	-2.005730152	-1.827920437	1.352261305	-0.324013919	0.945750237	1.900606036	1.813928246	-0.797570407
9.8.2 CCMA	2431742.754	2428194.685	0	1	8462	410	452	48	659	1054	-395	54	241	218	349911	1062685	14	4345	23	145	167	100	85	88	24.29736328	25.94793892	10	16	6.286038876	13	6.373384476	34	28	31	75	93	35	0.448699772	-0.118692048	0.16127421	30	75	92	35	0.41790086	2	5	6	2	0.846241236	-1.526651263	485	1	151	15.51653004	0	34	1	0	-0.527267694	-0.249421924	-1.158719182	1.779645324	1.332445502	1.851026416	1.57463634	-0.145533681
Lake Ormerod LO13	2114404.646	2493425.099	1	1	NaN	250	490	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	100	93	97	12.8720808	8.404283524	NaN	NaN	NaN	NaN	NaN	49	37	41	72	108	47	0.254498512	-0.227328375	0.040523056	41	72	104	45	0.287605971	10	5	23	11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
